City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
45,usoke,TZ,82.4,-5.17,32.35,few clouds,
49,murgab,TM,104.0,37.5,61.97,clear sky,
51,kapaa,US,78.8,22.08,-159.32,overcast clouds,Sheraton Kauai Resort at Coconut Beach
52,atuona,PF,79.52,-9.8,-139.03,scattered clouds,Villa Enata
53,santarem,BR,82.4,-2.44,-54.71,clear sky,Hotel Imperador
55,porto novo,BJ,80.6,6.5,2.6,scattered clouds,Tour Eiffel Hotel Benin
56,yanam,IN,89.6,16.73,82.22,few clouds,The Regency Hotel
57,bullhead city,US,87.8,35.15,-114.57,clear sky,Golden Nugget Laughlin Hotel & Casino
58,yellowknife,CA,61.0,62.46,-114.35,few clouds,The Explorer Hotel
60,katsuura,JP,80.01,35.13,140.3,overcast clouds,Katsuura Hotel Mikazuki
61,komsomolskiy,UZ,93.2,40.43,71.72,clear sky,Ikathouse
62,pangody,RU,61.36,65.85,74.49,overcast clouds,Elizaveta Shevchuk's House
63,bulgan,MN,65.44,48.81,103.53,broken clouds,Bulgan Hotel
64,saldanha,ZA,64.4,-33.01,17.94,clear sky,Blue Bay Lodge
65,ust-maya,RU,60.4,60.42,134.53,broken clouds,
66,tessalit,ML,95.94,20.2,1.01,scattered clouds,
73,saint-philippe,RE,73.4,-21.36,55.77,overcast clouds,"Chambres d'hôte ""La Trinité"""
76,port alfred,ZA,74.07,-33.59,26.89,clear sky,The Halyards Hotel
77,almaznyy,RU,91.4,48.04,40.05,few clouds,
79,carnarvon,AU,69.8,-24.87,113.63,clear sky,Hospitality Carnarvon
80,bredasdorp,ZA,60.8,-34.53,20.04,broken clouds,Bredasdorp Country Manor
84,bandarbeyla,SO,83.32,9.49,50.81,scattered clouds,REER XOOSHLE GROUP
86,jucas,BR,79.21,-6.53,-39.53,clear sky,Pousada e pizzaria Frogomercambar
89,richards bay,ZA,73.35,-28.78,32.04,clear sky,BON Hotel Waterfront Richards Bay
90,alekseyevsk,RU,68.67,57.84,108.35,broken clouds,
91,jhargram,IN,90.91,22.45,86.98,overcast clouds,Sarada Hotel
93,tucuma,BR,80.85,-0.18,-50.05,few clouds,
94,buraydah,SA,114.8,26.33,43.98,few clouds,Mövenpick Hotel Qassim
95,morant bay,JM,84.2,17.88,-76.41,few clouds,Whispering Bamboo Cove Resort
96,maun,BW,73.4,-19.98,23.42,clear sky,Enviro Villa
99,kodinsk,RU,71.73,58.69,99.18,broken clouds,
100,kendari,ID,74.07,-3.94,122.5,overcast clouds,Hotel Wixel
105,arraial do cabo,BR,75.2,-22.97,-42.03,clear sky,Pousada Porto Praia
106,ostrovnoy,RU,65.32,68.05,39.51,few clouds,
107,roald,NO,64.99,62.58,6.13,light rain,Flem Cabins
108,tagusao,PH,81.81,9.19,117.81,overcast clouds,"Shaman's Breath- Beach, Bed & Breakfast"
110,pala,TD,79.18,9.36,14.9,overcast clouds,
112,dingli,MT,91.4,35.86,14.38,clear sky,The Xara Palace Relais & Chateaux
114,atasu,KZ,73.74,48.68,71.64,broken clouds,Dostyk
116,saint george,US,80.01,37.1,-113.58,clear sky,Best Western Plus Abbey Inn
117,faanui,PF,78.26,-16.48,-151.75,scattered clouds,Bora-Bora Pearl Beach Resort & Spa
119,los llanos de aridane,ES,78.8,28.66,-17.92,few clouds,Valle Aridane
