City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
280,solnechnyy,RU,50.72,136.63,68.02,88,9,3.89,clear sky,0.0,0
281,agadez,NE,19.75,10.25,103.21,14,0,1.48,clear sky,0.0,0
282,resistencia,AR,-27.46,-58.98,50.0,39,100,16.11,overcast clouds,0.0,0
283,matay,EG,28.42,30.78,105.12,13,0,11.27,clear sky,0.0,0
284,togur,RU,58.36,82.83,66.42,52,6,6.08,clear sky,0.0,0
285,zhangjiakou,CN,40.81,114.88,72.25,71,53,5.64,light rain,0.38,0
286,vallenar,CL,-28.57,-70.76,58.41,31,0,2.1,clear sky,0.0,0
287,cherskiy,RU,68.75,161.3,37.09,79,38,9.66,scattered clouds,0.0,0
288,goya,AR,-29.14,-59.26,46.18,55,2,13.11,clear sky,0.0,0
289,semme,FR,46.2,1.5,69.8,77,90,5.82,overcast clouds,0.0,0
290,lagoa,PT,39.05,-27.98,73.09,86,0,7.0,clear sky,0.0,0
291,viedma,AR,-40.81,-63.0,33.01,91,0,1.99,clear sky,0.0,0
292,saint anthony,US,45.02,-93.22,68.0,88,75,4.9,broken clouds,0.0,0
293,salalah,OM,17.02,54.09,84.2,83,75,13.87,broken clouds,0.0,0
294,mahibadhoo,MV,3.78,72.97,82.87,77,86,15.77,overcast clouds,0.0,0
295,imbituba,BR,-28.24,-48.67,64.4,88,40,19.46,scattered clouds,0.0,0
296,harrisonburg,US,38.45,-78.87,75.2,88,1,4.7,clear sky,0.0,0
297,monywa,MM,22.12,95.13,87.21,72,99,8.99,light rain,0.66,0
298,lipin bor,RU,60.26,37.98,75.61,54,28,5.48,scattered clouds,0.0,0
299,charagua,BO,-19.8,-63.22,56.98,61,8,13.91,clear sky,0.0,0
300,worland,US,44.02,-107.96,59.0,87,1,4.7,clear sky,0.0,0
301,vaitape,PF,-16.52,-151.75,79.12,79,38,17.9,scattered clouds,0.0,0
302,kanniyakumari,IN,8.08,77.57,82.87,74,94,23.78,overcast clouds,0.0,0
303,bambous virieux,MU,-20.34,57.76,75.2,73,40,8.05,shower rain,0.0,0
304,labuhan,ID,-6.88,112.21,79.23,73,1,5.37,clear sky,0.0,0
305,camopi,GF,3.17,-52.32,77.23,86,52,3.42,broken clouds,0.0,0
306,langsa,ID,4.47,97.97,77.36,88,99,3.11,light rain,0.79,0
307,zhigansk,RU,66.77,123.37,52.97,62,0,20.38,clear sky,0.0,0
308,grand gaube,MU,-20.01,57.66,75.0,68,2,7.0,clear sky,0.0,0
309,nyurba,RU,63.28,118.33,57.58,75,100,5.21,overcast clouds,0.0,0
310,marinette,US,45.1,-87.63,66.2,88,1,10.94,clear sky,0.0,0
311,pombia,IT,45.65,8.63,88.0,48,40,5.82,scattered clouds,0.0,0
312,albanel,CA,48.88,-72.45,69.8,100,75,4.7,light intensity shower rain,0.0,0
313,minot,US,48.23,-101.3,60.01,87,1,5.82,clear sky,0.0,0
314,eldama ravine,KE,0.05,35.73,68.0,60,75,6.93,broken clouds,0.0,0
315,vardo,NO,70.37,31.11,53.6,93,90,9.17,fog,0.0,0
316,mazyr,BY,52.05,29.25,83.37,49,27,4.81,light rain,0.44,0
