City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Miramar,US,2020-07-28 04:57:07,25.99,-80.23,81.0,78,1,5.82
95,Buctzotz,MX,2020-07-28 04:58:49,21.2,-88.78,77.29,88,33,5.55
96,Hithadhoo,MV,2020-07-28 04:58:49,-0.6,73.08,83.05,78,100,12.64
97,Huambo,AO,2020-07-28 04:54:05,-12.78,15.74,45.16,63,0,1.95
98,Katihar,IN,2020-07-28 04:56:06,25.53,87.58,87.62,68,100,5.1
99,Hasaki,JP,2020-07-28 04:58:50,35.73,140.83,86.0,79,75,12.75
100,Severo-Kurilsk,RU,2020-07-28 04:58:51,50.68,156.12,55.08,81,62,17.72
101,Berberati,CF,2020-07-28 04:58:51,4.26,15.79,64.36,99,65,3.31
102,Acapulco,MX,2020-07-28 04:58:51,16.86,-99.89,80.37,80,100,8.5
103,Kodiak,US,2020-07-28 04:58:51,57.79,-152.41,59.0,77,1,3.36
104,Xuddur,SO,2020-07-28 04:58:51,4.12,43.89,76.35,68,98,22.88
105,Samarai,PG,2020-07-28 04:58:52,-10.62,150.67,81.23,83,100,8.68
106,Saint-Philippe,RE,2020-07-28 04:58:52,-21.36,55.77,71.6,78,90,10.29
107,Bidor,MY,2020-07-28 04:58:52,4.11,101.29,87.01,66,20,8.05
108,Krasnyy Chikoy,RU,2020-07-28 04:58:53,50.36,108.75,68.0,74,100,10.07
109,Aklavik,CA,2020-07-28 04:54:03,68.22,-135.01,62.6,59,90,8.05
110,Miraflores,MX,2020-07-28 04:58:53,19.22,-98.81,66.2,59,90,5.82
111,Sao Felix Do Xingu,BR,2020-07-28 04:58:54,-6.64,-51.99,67.41,63,0,1.07
112,Hobbs,US,2020-07-28 04:54:07,32.7,-103.14,84.0,37,75,8.05
113,Busselton,AU,2020-07-28 04:58:54,-33.65,115.33,64.0,89,99,12.15
114,Maniitsoq,GL,2020-07-28 04:58:54,65.42,-52.9,44.56,96,100,11.81
115,Yellowknife,CA,2020-07-28 04:57:01,62.46,-114.35,63.0,93,40,5.82
116,Barrow,US,2020-07-28 04:58:55,71.29,-156.79,37.4,86,90,24.16
117,Silchar,IN,2020-07-28 04:58:55,24.82,92.8,88.34,68,100,2.91
118,Trairi,BR,2020-07-28 04:58:55,-3.28,-39.27,76.14,81,0,11.05
119,Butaritari,KI,2020-07-28 04:58:56,3.07,172.79,83.39,77,100,12.95
120,Chuy,UY,2020-07-28 04:58:56,-33.7,-53.46,45.05,75,100,8.81
121,Dembi Dolo,ET,2020-07-28 04:58:56,8.53,34.8,58.71,99,83,1.48
122,San Quintin,MX,2020-07-28 04:58:56,30.48,-115.95,65.61,88,1,12.17
123,Marevo,RU,2020-07-28 04:58:56,57.31,32.08,66.96,83,54,4.61
124,Kalat,PK,2020-07-28 04:58:57,29.02,66.59,81.63,31,30,3.44
125,Carupano,VE,2020-07-28 04:58:57,10.67,-63.26,77.86,85,60,1.41
126,Constitucion,CL,2020-07-28 04:58:57,-35.33,-72.42,43.41,68,0,10.22
127,East London,ZA,2020-07-28 04:56:45,-33.02,27.91,55.4,58,0,11.41
128,Tasiilaq,GL,2020-07-28 04:58:58,65.61,-37.64,37.4,93,49,3.44
129,Castro,BR,2020-07-28 04:58:58,-24.79,-50.01,57.15,80,47,3.71
130,Narsaq,GL,2020-07-28 04:58:58,60.92,-46.05,46.4,87,100,5.82
131,Clyde River,CA,2020-07-28 04:58:58,70.47,-68.59,41.0,100,90,12.75
132,Pasan,IN,2020-07-28 04:58:58,22.85,82.2,88.84,60,98,2.84
133,Mabaruma,GY,2020-07-28 04:58:59,8.2,-59.78,73.9,99,25,1.32
134,Bengkulu,ID,2020-07-28 04:58:59,-3.8,102.27,84.6,62,100,10.33
